sample,t_s,I_mA
1,0.114,14.265020
2,0.593,14.246780
3,1.081,14.241200
4,1.564,14.328480
5,2.044,14.240070
6,2.537,14.251490
7,3.011,14.229770
8,3.501,14.246020
9,4.462,14.236140
10,4.950,14.242850
11,5.438,14.230960
12,5.922,14.251840
13,6.406,14.437620
14,6.881,14.446330
15,7.372,14.439950
16,7.851,14.446110
17,8.340,14.447600
18,8.818,14.443890
19,9.308,14.440700
20,9.791,14.205560
21,10.269,14.204630
22,10.760,14.247100
23,11.242,14.261110
24,11.726,14.308330
25,12.209,14.280180
26,12.688,14.271500
27,13.170,14.290260
28,13.658,14.286400
29,14.142,14.301640
30,14.629,14.283620
31,15.112,14.309640
32,15.591,14.298520
33,16.081,14.306600
34,16.562,14.373390
35,17.045,14.289630
36,17.532,14.506500
37,18.008,14.506640
38,18.982,14.506610
39,19.464,14.503190
40,19.944,14.502840
41,20.432,14.485810
42,20.919,14.259280
43,21.402,14.268350
44,21.884,14.279280
45,22.370,14.326270
46,22.852,14.313750
47,23.338,14.305980
48,23.817,14.301350
49,24.305,14.297930
50,24.784,14.294230
51,25.264,14.283910
52,25.754,14.293260
53,26.233,14.272380
54,26.722,14.330200
55,27.203,14.273000
56,27.692,14.297120
57,28.172,14.309330
58,28.659,14.499970
59,29.138,14.498940
60,29.620,14.501130
61,30.110,14.498510
62,30.592,14.499800
63,31.078,14.501780
64,31.560,14.537440
65,32.040,14.265310
66,32.529,14.268370
67,33.012,14.329000
68,33.980,14.331970
69,34.460,14.317780
70,34.948,14.324890
71,35.427,14.310630
72,35.916,14.328310
73,36.400,14.326080
74,36.879,14.326430
75,37.367,14.322900
76,37.843,14.304370
77,38.334,14.325640
78,38.812,14.305130
79,39.298,14.307170
80,39.782,14.509840
81,40.268,14.506830
82,40.752,14.511690
83,41.237,14.507850
84,41.721,14.519210
85,42.197,14.496650
86,42.688,14.395500
87,43.170,14.245640
88,43.651,14.240780
89,44.141,14.286960
90,44.618,14.294010
91,45.107,14.287010
92,45.591,14.296480
93,46.071,14.283210
94,46.558,14.362520
95,47.042,14.274340
96,47.516,14.308750
97,48.493,14.320330
98,48.972,14.325740
99,49.460,14.313890
100,49.941,14.327790
101,50.421,14.330800
102,50.911,14.504950
103,51.390,14.502630
104,51.880,14.495590
105,52.362,14.498210
106,52.848,14.498450
107,53.329,14.510190
108,53.810,14.381760
109,54.299,14.278410
110,54.782,14.272290
111,55.262,14.310730
112,55.748,14.315550
113,56.226,14.317500
114,56.717,14.381300
115,57.197,14.290080
116,57.682,14.303550
117,58.163,14.326280
118,58.650,14.308650
119,59.126,14.337390
120,59.620,14.322660
121,60.102,14.329680
122,60.504,14.334290
123,61.475,14.378740
124,61.953,14.537140
125,62.434,14.539570
126,62.925,14.540950
127,63.410,14.545960
128,63.889,14.548950
129,64.372,14.546810
130,64.860,14.431490
131,65.342,14.293850
132,65.829,14.294700
133,66.312,14.345300
134,66.796,14.339240
135,67.279,14.341230
136,67.763,14.342590
137,68.245,14.340470
138,68.731,14.347940
139,69.213,14.333940
140,69.698,14.354210
141,70.182,14.344020
142,70.661,14.362410
143,71.140,14.352700
144,71.626,14.412890
145,72.111,14.373280
146,72.601,14.346790
147,73.076,14.539200
148,73.565,14.535640
149,74.051,14.530820
150,74.537,14.531040
151,75.015,14.529430
152,75.984,14.373320
153,76.467,14.303060
154,76.950,14.275610
155,77.434,14.316940
156,77.917,14.315350
157,78.406,14.261440
158,78.890,14.276630
159,79.373,14.283890
160,79.850,14.301850
161,80.334,14.318990
162,80.822,14.310320
163,81.308,14.330610
164,81.783,14.312960
165,82.274,14.331340
166,82.754,14.317070
167,83.242,14.306470
168,83.722,14.355270
169,84.207,14.504210
170,84.692,14.504180
171,85.177,14.502660
172,85.664,14.501860
173,86.145,14.507990
174,86.621,14.505230
175,87.110,14.311810
176,87.590,14.263800
177,88.081,14.266440
178,88.565,14.309960
179,89.043,14.295030
180,89.530,14.314930
181,90.016,14.291720
182,90.984,14.298400
183,91.465,14.325770
184,91.952,14.253710
185,92.430,14.313700
186,92.910,14.319470
187,93.402,14.299430
188,93.886,14.312140
189,94.368,14.291830
190,94.845,14.339740
191,95.332,14.506590
192,95.822,14.503480
193,96.300,14.505610
194,96.789,14.493410
195,97.273,14.509610
196,97.752,14.508100
197,98.240,14.292670
198,98.722,14.266870
199,99.208,14.266580
200,99.691,14.303490
