sample,t_s,I_mA
1,0.125,5.079832
2,0.607,5.079808
3,1.010,5.080398
4,1.980,5.079451
5,2.461,5.078652
6,2.939,5.078480
7,3.431,5.078296
8,3.910,5.077005
9,4.389,5.076107
10,4.881,5.076009
11,5.361,5.075935
12,5.851,5.074239
13,6.329,5.074460
14,6.817,5.074386
15,7.299,5.073427
16,7.776,5.073194
17,8.267,5.073550
18,8.746,5.074005
19,9.234,5.073870
20,9.719,5.073439
21,10.204,5.073550
22,10.688,5.073021
23,11.165,5.072063
24,11.647,5.072714
25,12.141,5.072997
26,12.622,5.072653
27,13.106,5.071940
28,13.588,5.072210
29,14.075,5.072013
30,14.554,5.072481
31,15.033,5.072567
32,15.522,5.071251
33,16.001,5.071866
34,16.971,5.072726
35,17.452,5.073046
36,17.943,5.072997
37,18.429,5.072640
38,18.907,5.071731
39,19.387,5.070882
40,19.876,5.069850
41,20.361,5.070809
42,20.847,5.070956
43,21.328,5.070710
44,21.807,5.070501
45,22.298,5.070710
46,22.782,5.071411
47,23.261,5.071509
48,23.750,5.072185
49,24.233,5.073562
50,24.718,5.074325
51,25.194,5.071128
52,25.683,5.069137
53,26.162,5.069001
54,26.650,5.069948
55,27.131,5.070132
56,27.621,5.069936
57,28.101,5.068928
58,28.506,5.069444
59,29.474,5.068866
60,29.959,5.068878
61,30.443,5.069727
62,30.927,5.067919
63,31.407,5.068165
64,31.889,5.066456
65,32.378,5.067415
66,32.856,5.067686
67,33.343,5.067538
68,33.821,5.068141
69,34.310,5.068632
70,34.795,5.068534
71,35.281,5.067932
72,35.763,5.066370
73,36.240,5.067022
74,36.732,5.067858
75,37.213,5.067661
76,37.700,5.068104
77,38.183,5.067956
78,38.663,5.067157
79,39.151,5.067292
80,39.629,5.066592
81,40.119,5.065682
82,40.598,5.064821
83,41.085,5.065178
84,41.562,5.064366
85,42.049,5.064526
86,42.538,5.064588
87,43.018,5.065043
88,43.990,5.064514
89,44.465,5.064698
90,44.958,5.065915
91,45.436,5.065387
92,45.916,5.065411
93,46.408,5.064563
94,46.892,5.063727
95,47.369,5.064034
96,47.856,5.063604
97,48.335,5.062879
98,48.825,5.063137
99,49.305,5.062682
100,49.794,5.062350
101,50.277,5.063002
102,50.764,5.063469
103,51.247,5.062510
104,51.722,5.061748
105,52.208,5.062227
106,52.693,5.061772
107,53.182,5.061416
108,53.664,5.061797
109,54.149,5.062092
110,54.630,5.062104
111,55.109,5.061625
112,55.600,5.061674
113,56.078,5.062141
114,56.569,5.061748
115,57.050,5.061563
116,57.529,5.060912
117,58.018,5.061170
118,58.986,5.060838
119,59.464,5.060555
120,59.954,5.060764
121,60.433,5.060629
122,60.917,5.060985
123,61.404,5.061576
124,61.883,5.062362
125,62.371,5.061920
126,62.849,5.061883
127,63.339,5.061551
128,63.824,5.062657
129,64.307,5.063075
130,64.793,5.064256
131,65.270,5.064612
132,65.761,5.064563
133,66.244,5.065215
134,66.725,5.064231
135,67.209,5.063887
136,67.696,5.063924
137,68.175,5.065338
138,68.664,5.064428
139,69.147,5.064723
140,69.631,5.064637
141,70.109,5.065104
142,70.589,5.065264
143,71.075,5.065227
144,71.566,5.064440
145,72.049,5.064170
146,72.534,5.064797
147,73.015,5.062842
148,73.979,5.062805
149,74.470,5.063899
150,74.943,5.064010
151,75.428,5.064760
152,75.915,5.065141
153,76.396,5.064772
154,76.886,5.065116
155,77.366,5.064747
156,77.848,5.065079
157,78.336,5.065006
158,78.815,5.064784
159,79.307,5.064403
160,79.785,5.065952
161,80.267,5.066567
162,80.750,5.066419
163,81.235,5.066444
164,81.716,5.066124
165,82.207,5.066678
166,82.687,5.066604
167,83.175,5.066346
168,83.656,5.066174
169,84.145,5.066469
170,84.626,5.068362
171,85.113,5.067231
172,85.596,5.066874
173,86.079,5.066665
174,86.561,5.066997
175,87.039,5.067391
176,87.529,5.067747
177,88.016,5.066604
178,88.974,5.065338
179,89.464,5.064563
180,89.944,5.063985
181,90.435,5.063444
182,90.916,5.063309
183,91.396,5.062571
184,91.885,5.062080
185,92.363,5.061465
186,92.852,5.061428
187,93.332,5.061084
188,93.820,5.061834
189,94.298,5.062326
190,94.788,5.062313
191,95.269,5.061686
192,95.748,5.062436
193,96.239,5.061342
194,96.720,5.061834
195,97.200,5.062227
196,97.689,5.061772
197,98.176,5.062793
198,98.656,5.060776
199,99.135,5.060653
200,99.625,5.061391
