sample,t_s,I_mA
1,0.039,13.884020
2,0.518,14.114870
3,1.490,14.146320
4,1.971,14.143190
5,2.450,14.136740
6,2.935,14.150430
7,3.422,14.149820
8,3.907,13.897300
9,4.391,13.907880
10,4.872,13.907920
11,5.360,13.910920
12,5.840,13.903000
13,6.328,13.899950
14,6.811,13.908660
15,7.291,13.893670
16,7.781,13.897370
17,8.258,13.904800
18,8.748,13.911870
19,9.226,13.909170
20,9.712,13.972880
21,10.190,13.901540
22,10.678,13.905320
23,11.159,13.902850
24,11.651,14.134670
25,12.129,14.151600
26,12.619,14.151610
27,13.100,14.163100
28,13.586,14.154090
29,14.069,14.158820
30,14.547,14.121990
31,15.033,13.899960
32,15.522,13.899210
33,16.001,13.900100
34,16.971,13.891490
35,17.457,13.893710
36,17.936,13.890100
37,18.425,13.893870
38,18.904,13.893120
39,19.393,13.892420
40,19.869,13.902200
41,20.360,13.906430
42,20.837,13.906530
43,21.328,13.913180
44,21.805,13.913370
45,22.297,13.919230
46,22.780,14.181740
47,23.264,14.179830
48,23.742,14.178920
49,24.231,14.184820
50,24.711,14.120760
51,25.200,14.188240
52,25.677,14.173900
53,26.167,13.929700
54,26.651,13.924010
55,27.134,13.915770
56,27.618,13.917130
57,28.101,13.919490
58,28.588,13.917940
59,29.070,13.914800
60,29.551,13.973900
61,30.037,13.909920
62,30.518,13.907590
63,31.490,13.915640
64,31.971,13.921320
65,32.457,13.912390
66,32.941,13.908850
67,33.421,13.903360
68,33.909,14.163590
69,34.391,14.158320
70,34.877,14.170880
71,35.357,14.183170
72,35.841,14.185520
73,36.328,14.194580
74,36.811,14.161350
75,37.296,13.941130
76,37.770,13.946190
77,38.257,13.941370
78,38.742,13.934310
79,39.225,13.942930
80,39.712,14.006680
81,40.198,13.943170
82,40.681,13.948020
83,41.158,13.950950
84,41.649,13.949240
85,42.128,13.955070
86,42.618,13.949830
87,43.102,13.947080
88,43.580,13.931950
89,44.067,13.922220
90,44.551,14.003960
91,45.038,14.182330
92,45.513,14.184190
93,46.489,14.192240
94,46.974,14.180430
95,47.451,14.184990
96,47.932,14.084030
97,48.420,13.911950
98,48.909,13.910370
99,49.391,13.914340
100,49.876,13.917450
101,50.360,13.913110
102,50.842,13.909650
103,51.328,13.912840
104,51.810,13.912430
105,52.289,13.917140
106,52.778,13.924230
107,53.256,13.924540
108,53.747,13.930150
109,54.225,13.926070
110,54.714,13.991540
111,55.191,13.921520
112,55.679,13.922250
113,56.164,14.184380
114,56.650,14.178860
115,57.130,14.179660
116,57.610,14.177290
117,58.017,14.172790
118,58.988,14.114240
119,59.468,13.950720
120,59.956,13.904130
121,60.432,13.903140
122,60.921,13.912980
123,61.407,13.917530
124,61.890,13.921320
125,62.371,13.924180
126,62.859,13.921480
127,63.341,13.915090
128,63.826,13.917000
129,64.311,13.924380
130,64.791,13.961080
131,65.279,13.933260
132,65.761,13.927370
133,66.244,13.927270
134,66.730,13.928880
135,67.211,14.184180
136,67.698,14.185080
137,68.179,14.186780
138,68.665,14.194350
139,69.149,14.189300
140,69.629,14.136870
141,70.117,14.116150
142,70.601,13.928540
143,71.002,13.927090
144,71.971,13.929720
145,72.449,13.935140
146,72.940,13.929150
147,73.419,13.927810
148,73.899,13.925320
149,74.390,13.929300
150,74.871,13.924910
151,75.358,13.917040
152,75.839,13.924110
153,76.319,13.923980
154,76.808,13.925830
155,77.293,13.923590
156,77.772,13.929240
157,78.261,14.191230
158,78.740,14.188050
159,79.229,14.190670
160,79.711,14.136700
161,80.197,14.182970
162,80.674,14.186460
163,81.165,14.114940
164,81.646,13.923560
165,82.130,13.925200
166,82.608,13.922160
167,83.100,13.924900
168,83.581,13.925400
169,84.067,13.925440
170,84.545,13.983880
171,85.035,13.919880
172,85.520,13.919550
173,86.487,13.926260
174,86.961,13.927920
175,87.455,13.930390
176,87.932,13.932150
177,88.422,13.941430
178,88.902,13.939670
179,89.381,14.196220
180,89.871,14.194500
181,90.351,14.193550
182,90.842,14.193800
183,91.320,14.192350
184,91.809,14.192710
185,92.291,14.086520
186,92.777,13.932110
187,93.263,13.931490
188,93.741,13.932890
189,94.227,13.936920
190,94.712,14.007130
191,95.197,13.948030
192,95.672,13.949620
193,96.159,13.946090
194,96.648,13.949190
195,97.125,13.942200
196,97.611,13.944670
197,98.099,13.942420
198,98.578,13.944300
199,99.067,13.950920
200,99.551,14.023410
