sample,t_s,I_mA
1,0.115,13.904010
2,0.601,13.909490
3,1.083,13.910760
4,1.567,13.914430
5,2.052,13.915250
6,2.535,13.660670
7,3.018,13.662610
8,3.507,13.747860
9,4.470,13.674690
10,4.955,13.668050
11,5.438,13.661590
12,5.920,13.662220
13,6.405,13.662580
14,6.888,13.663190
15,7.371,13.665170
16,7.858,13.659720
17,8.334,13.661350
18,8.826,13.652260
19,9.309,13.649800
20,9.790,13.648650
21,10.269,13.908410
22,10.759,13.914580
23,11.246,13.918220
24,11.729,13.918440
25,12.213,13.913250
26,12.688,13.913020
27,13.179,13.882030
28,13.660,13.728730
29,14.142,13.634680
30,14.630,13.984930
31,15.112,13.961120
32,15.598,13.958130
33,16.078,13.962060
34,16.567,13.963670
35,17.049,13.971490
36,17.530,13.977900
37,18.018,13.984400
38,18.988,13.991640
39,19.469,13.996830
40,19.956,13.993990
41,20.439,13.995800
42,20.918,13.995280
43,21.397,14.254030
44,21.887,14.252240
45,22.371,14.248900
46,22.858,14.256760
47,23.341,14.255910
48,23.826,14.253180
49,24.302,14.203370
50,24.787,14.006470
51,25.278,14.014610
52,25.758,14.016780
53,26.246,14.015370
54,26.723,14.014130
55,27.213,14.015840
56,27.693,14.014550
57,28.177,14.018530
58,28.660,14.096170
59,29.149,14.025300
60,29.627,14.030640
61,30.118,14.030120
62,30.599,14.029720
63,31.078,14.028000
64,31.564,14.035700
65,32.049,14.040880
66,32.529,14.300880
67,33.019,14.304940
68,33.987,14.310080
69,34.467,14.303280
70,34.956,14.310890
71,35.437,14.190650
72,35.919,14.058830
73,36.399,14.059670
74,36.889,14.054120
75,37.372,14.044340
76,37.855,14.045200
77,38.338,14.044590
78,38.828,14.055600
79,39.309,14.050210
80,39.790,14.051180
81,40.278,14.053540
82,40.759,14.056380
83,41.239,14.061120
84,41.728,14.065060
85,42.209,14.081230
86,42.689,14.092550
87,43.177,14.098410
88,43.656,14.362140
89,44.149,14.364880
90,44.633,14.366950
91,45.117,14.370290
92,45.601,14.364330
93,46.080,14.370800
94,46.569,14.219130
95,47.052,14.113630
96,47.537,14.115920
97,48.011,14.121300
98,48.978,14.126230
99,49.470,14.127100
100,49.949,14.125290
101,50.438,14.131440
102,50.918,14.128760
103,51.403,14.132570
104,51.889,14.120580
105,52.368,14.113910
106,52.857,14.107250
107,53.339,14.104320
108,53.825,14.105830
109,54.312,14.141240
110,54.789,14.374780
111,55.279,14.378430
112,55.759,14.383520
113,56.247,14.385240
114,56.727,14.396580
115,57.209,14.403930
116,57.696,14.205990
117,58.179,14.145000
118,58.666,14.222630
119,59.140,14.143530
120,59.631,14.144770
121,60.110,14.135900
122,60.601,14.135290
123,61.079,14.135920
124,61.567,14.129840
125,62.051,14.133690
126,62.537,14.133670
127,63.019,14.142140
128,63.989,14.163180
129,64.469,14.166820
130,64.948,14.168450
131,65.440,14.221080
132,65.918,14.435800
133,66.408,14.440150
134,66.887,14.439420
135,67.376,14.443310
136,67.852,14.436460
137,68.344,14.445580
138,68.819,14.206710
139,69.309,14.175150
140,69.788,14.169750
141,70.278,14.162310
142,70.758,14.152980
143,71.239,14.152920
144,71.729,14.153150
145,72.207,14.162910
146,72.693,14.169290
147,73.182,14.175760
148,73.666,14.252660
149,74.150,14.172970
150,74.630,14.174790
151,75.117,14.170930
152,75.598,14.163580
153,76.078,14.156620
154,76.567,14.280270
155,77.046,14.415240
156,77.536,14.420870
157,78.018,14.416130
158,78.987,14.418190
159,79.467,14.415570
160,79.957,14.165720
161,80.439,14.160330
162,80.923,14.166710
163,81.405,14.174680
164,81.889,14.178320
165,82.373,14.175750
166,82.859,14.173970
167,83.337,14.175690
168,83.829,14.107680
169,84.309,14.100540
170,84.796,14.103160
171,85.274,14.100580
172,85.759,14.108140
173,86.247,14.112430
174,86.729,14.117300
175,87.214,14.115300
176,87.699,14.274000
177,88.178,14.372470
178,88.659,14.365610
179,89.148,14.375850
180,89.629,14.371840
181,90.118,14.377140
182,90.599,14.382140
183,91.086,14.128270
184,91.563,14.132610
185,92.053,14.143590
186,92.538,14.147400
187,93.014,14.146490
188,93.989,14.150300
189,94.465,14.160100
190,94.956,14.163100
191,95.435,14.165380
192,95.924,14.171950
193,96.409,14.172170
194,96.887,14.172750
195,97.377,14.175910
196,97.859,14.169110
197,98.345,14.176340
198,98.826,14.391720
199,99.309,14.433740
200,99.793,14.438270
