sample,t_s,I_mA
1,0.104,13.849980
2,0.601,13.829650
3,1.071,13.870540
4,1.560,13.885260
5,2.039,13.847630
6,2.532,13.835990
7,3.009,13.863880
8,3.983,13.824700
9,4.464,13.826250
10,4.943,13.848280
11,5.433,13.870090
12,5.911,13.854680
13,6.403,13.834570
14,6.884,13.860550
15,7.370,13.859360
16,7.851,13.814290
17,8.338,13.871860
18,8.821,13.825540
19,9.304,13.895100
20,9.788,13.865600
21,10.269,13.855250
22,10.758,13.840070
23,11.243,13.832470
24,11.724,13.821560
25,12.206,13.808250
26,12.693,13.853160
27,13.173,13.881170
28,13.663,13.819720
29,14.146,13.881950
30,14.624,13.872720
31,15.113,13.851370
32,15.592,13.825570
33,16.082,13.816670
34,16.564,13.878290
35,17.046,13.810240
36,17.524,13.872570
37,18.012,13.783720
38,18.981,14.008360
39,19.468,13.823040
40,19.952,13.812740
41,20.434,13.840580
42,20.920,13.854390
43,21.405,13.834530
44,21.884,13.822600
45,22.373,13.841570
46,22.852,13.846910
47,23.332,13.820190
48,23.824,13.830110
49,24.304,13.832370
50,24.783,13.836160
51,25.274,13.847460
52,25.751,13.838830
53,26.242,13.844590
54,26.719,13.822550
55,27.211,13.827870
56,27.686,13.811040
57,28.174,13.818050
58,28.663,13.833330
59,29.142,13.796850
60,29.627,13.868380
61,30.114,14.137890
62,30.594,13.832270
63,31.083,13.856100
64,31.564,13.859520
65,32.052,13.856120
66,32.532,13.875390
67,33.011,13.880100
68,33.984,13.859480
69,34.470,13.853010
70,34.954,13.857130
71,35.434,13.864630
72,35.913,13.824440
73,36.403,13.831470
74,36.888,13.887810
75,37.365,13.852880
76,37.856,13.866300
77,38.333,13.851370
78,38.824,13.855210
79,39.304,13.806820
80,39.793,13.811000
81,40.273,13.845140
82,40.752,13.881200
83,41.242,14.213360
84,41.729,13.832920
85,42.212,13.857680
86,42.687,13.871650
87,43.176,13.869130
88,43.655,13.853040
89,44.145,13.844850
90,44.625,13.858420
91,45.116,13.822610
92,45.600,13.850160
93,46.082,13.855790
94,46.567,13.868960
95,47.047,13.830400
96,47.536,13.864520
97,48.015,13.841160
98,48.981,13.835220
99,49.462,13.851870
100,49.954,13.825420
101,50.438,13.830910
102,50.915,13.810060
103,51.404,13.849340
104,51.884,13.836700
105,52.373,14.209990
106,52.854,13.822240
107,53.341,13.852640
108,53.819,13.830870
109,54.308,13.850360
110,54.794,13.817380
111,55.278,13.849780
112,55.752,13.825760
113,56.241,13.824880
114,56.730,13.840620
115,57.214,13.836870
116,57.694,13.843790
117,58.179,13.813280
118,58.664,13.854990
119,59.148,13.858140
120,59.631,13.805720
121,60.115,13.812560
122,60.595,13.856410
123,61.084,13.797270
124,61.564,13.815880
125,62.048,13.792810
126,62.536,13.838600
127,63.014,13.813920
128,63.986,13.841530
129,64.465,13.846140
130,64.955,13.826430
131,65.435,13.837560
132,65.924,13.849710
133,66.407,13.873450
134,66.885,13.835710
135,67.375,13.797260
136,67.855,13.850100
137,68.336,13.880230
138,68.825,13.878070
139,69.305,13.839870
140,69.794,13.822600
141,70.273,13.870810
142,70.763,13.830230
143,71.239,13.814680
144,71.725,13.831330
145,72.214,13.806200
146,72.695,13.863670
147,73.174,13.822220
148,73.663,13.852680
149,74.144,13.840930
150,74.634,14.289050
151,75.116,13.848260
152,75.595,13.849910
153,76.084,13.864390
154,76.567,13.858250
155,77.054,13.859910
156,77.532,13.857160
157,78.022,13.833100
158,78.981,13.833960
159,79.465,13.870800
160,79.954,13.851800
161,80.442,13.872810
162,80.920,13.864560
163,81.409,13.844940
164,81.884,13.860000
165,82.373,13.873180
166,82.862,13.821040
167,83.342,13.819870
168,83.828,13.848940
169,84.312,13.833160
170,84.797,13.849610
171,85.279,13.846630
172,85.756,14.144440
173,86.244,13.856460
174,86.732,13.889580
175,87.216,13.846880
176,87.692,13.837960
177,88.183,13.873150
178,88.663,13.835760
179,89.152,13.866170
180,89.634,13.791970
181,90.113,13.866550
182,90.604,13.862680
183,91.084,13.890230
184,91.572,13.853100
185,92.054,13.858750
186,92.532,13.866570
187,93.019,13.853200
188,93.508,13.839280
189,94.470,13.839620
190,94.954,13.849570
191,95.438,13.843680
192,95.927,13.833050
193,96.404,13.881730
194,96.894,13.957160
195,97.371,13.861510
196,97.860,13.839260
197,98.343,13.874860
198,98.823,13.835760
199,99.309,13.864570
200,99.794,13.890650
