sample,t_s,I_mA
1,0.114,13.822280
2,0.600,13.840620
3,1.085,13.890070
4,1.564,13.924450
5,2.054,13.866620
6,2.531,13.875610
7,3.017,13.914290
8,3.503,13.863890
9,4.473,13.889750
10,4.953,13.879400
11,5.440,13.876670
12,5.923,13.882580
13,6.409,13.886610
14,6.893,13.857060
15,7.374,13.900480
16,7.855,13.887340
17,8.346,13.921470
18,8.827,13.913050
19,9.305,13.854780
20,9.794,13.888370
21,10.272,13.874430
22,10.764,13.856530
23,11.247,13.850600
24,11.732,13.855450
25,12.209,13.885570
26,12.695,13.897740
27,13.178,13.858260
28,13.663,13.902940
29,14.150,13.876900
30,14.626,13.894000
31,15.117,13.889110
32,15.604,13.891600
33,16.085,13.855500
34,16.571,13.879640
35,17.055,13.906530
36,17.537,13.868950
37,18.017,13.882780
38,18.983,13.894870
39,19.472,13.854280
40,19.953,13.840900
41,20.443,13.902780
42,20.921,13.878180
43,21.410,13.864940
44,21.886,13.874260
45,22.375,13.848700
46,22.856,13.897530
47,23.346,13.875650
48,23.825,13.876420
49,24.304,13.866510
50,24.793,13.908180
51,25.282,13.900220
52,25.762,13.879670
53,26.245,13.904010
54,26.726,13.882740
55,27.208,13.850520
56,27.694,13.847870
57,28.185,13.885650
58,28.663,13.898960
59,29.144,13.851690
60,29.635,13.898380
61,30.115,13.881140
62,30.602,13.875620
63,31.086,13.851220
64,31.568,13.845540
65,32.055,13.893530
66,32.533,13.842390
67,33.025,13.883860
68,33.990,13.870660
69,34.469,14.164350
70,34.957,13.856810
71,35.437,13.842600
72,35.925,13.865440
73,36.403,13.888220
74,36.895,13.875930
75,37.373,13.851620
76,37.859,13.876840
77,38.346,13.868200
78,38.824,13.847710
79,39.313,13.870610
80,39.795,13.865010
81,40.283,13.881630
82,40.764,13.859700
83,41.245,13.870100
84,41.733,13.884280
85,42.212,13.853420
86,42.702,13.838030
87,43.178,13.844580
88,43.672,13.838580
89,44.155,13.848380
90,44.636,13.830220
91,45.116,13.891080
92,45.607,14.277960
93,46.086,13.874160
94,46.565,13.887520
95,47.054,13.885450
96,47.534,13.888810
97,48.021,13.867480
98,48.994,13.874120
99,49.478,13.884360
100,49.955,13.893360
101,50.444,13.906910
102,50.924,13.879950
103,51.404,13.864300
104,51.893,13.897910
105,52.375,13.929640
106,52.863,13.881830
107,53.345,13.871970
108,53.832,13.890850
109,54.311,13.874720
110,54.795,13.834510
111,55.278,13.841000
112,55.761,13.923680
113,56.249,13.911020
114,56.735,14.184690
115,57.220,13.832920
116,57.704,13.887660
117,58.188,13.868280
118,58.671,13.871280
119,59.155,13.850790
120,59.640,13.876370
121,60.124,13.880750
122,60.608,13.867250
123,61.087,13.876040
124,61.567,13.873690
125,62.054,13.903550
126,62.543,13.870590
127,63.026,13.872440
128,63.502,13.894570
129,64.478,13.858260
130,64.956,13.865110
131,65.445,13.886650
132,65.923,13.883630
133,66.415,13.853270
134,66.894,13.908790
135,67.374,13.873320
136,67.863,14.265210
137,68.345,13.850530
138,68.830,13.887010
139,69.317,13.852100
140,69.794,13.860980
141,70.285,13.870780
142,70.765,13.872620
143,71.254,13.858420
144,71.730,13.852850
145,72.220,13.885650
146,72.705,13.864860
147,73.189,13.868570
148,73.673,13.838760
149,74.156,13.870830
150,74.635,13.889420
151,75.123,13.841410
152,75.605,13.847580
153,76.085,13.854800
154,76.573,13.837880
155,77.055,13.856710
156,77.545,13.850100
157,78.025,13.874370
158,78.990,14.204740
159,79.475,13.853950
160,79.955,13.886820
161,80.443,13.852790
162,80.926,13.850550
163,81.414,13.864070
164,81.892,13.886000
165,82.377,13.866890
166,82.863,13.850820
167,83.351,13.843500
168,83.835,13.907890
169,84.315,13.877340
170,84.796,13.871320
171,85.284,13.855710
172,85.766,13.874230
173,86.250,13.863380
174,86.738,13.835560
175,87.222,13.848030
176,87.706,13.843870
177,88.185,13.882700
178,88.674,13.853860
179,89.155,13.880470
180,89.642,13.863980
181,90.116,14.204150
182,90.607,13.857160
183,91.093,13.877320
184,91.578,13.888700
185,92.057,13.895000
186,92.545,13.867620
187,93.030,13.890560
188,93.507,13.880080
189,94.475,13.874310
190,94.964,13.886990
191,95.449,13.885690
192,95.934,13.886870
193,96.414,13.874000
194,96.894,13.861820
195,97.383,13.879130
196,97.866,13.880980
197,98.350,13.861730
198,98.836,13.853690
199,99.317,13.864410
200,99.794,13.851320
