sample,t_s,I_mA
1,0.117,14.880000
2,0.598,14.906260
3,1.085,14.901610
4,1.568,14.937410
5,2.051,14.861290
6,2.535,14.936870
7,3.010,14.945610
8,3.988,14.914160
9,4.463,14.897170
10,4.953,14.915920
11,5.429,14.913110
12,5.915,14.917370
13,6.403,14.897000
14,6.888,14.909570
15,7.374,14.912120
16,7.852,14.893210
17,8.340,14.886120
18,8.818,14.922040
19,9.310,14.926630
20,9.790,14.894100
21,10.268,14.897190
22,10.756,14.921470
23,11.239,14.922280
24,11.728,14.857700
25,12.211,14.882880
26,12.692,14.891400
27,13.179,14.884950
28,13.661,14.880080
29,14.139,15.041580
30,14.622,14.938140
31,15.108,14.922090
32,15.594,14.907430
33,16.080,14.907720
34,16.565,14.915250
35,17.050,14.908870
36,17.530,14.924650
37,18.017,14.910450
38,18.986,14.918390
39,19.462,14.915330
40,19.953,14.926110
41,20.438,14.916490
42,20.921,14.917740
43,21.398,14.902100
44,21.887,14.928170
45,22.364,14.880320
46,22.857,14.895770
47,23.336,14.899160
48,23.819,14.894950
49,24.308,14.859530
50,24.793,14.921150
51,25.274,14.955880
52,25.760,14.897120
53,26.244,14.912550
54,26.728,14.937550
55,27.203,14.895020
56,27.688,14.896170
57,28.179,14.916300
58,28.663,14.925040
59,29.148,14.914620
60,29.629,14.916290
61,30.115,14.915260
62,30.599,14.904220
63,31.081,14.911980
64,31.561,14.928830
65,32.050,14.910190
66,32.534,14.884550
67,33.017,14.926720
68,33.986,14.883770
69,34.469,14.878990
70,34.947,14.892940
71,35.437,14.915110
72,35.919,14.913650
73,36.404,14.995670
74,36.886,14.935170
75,37.372,14.925700
76,37.855,14.903280
77,38.337,14.910020
78,38.821,14.911460
79,39.302,14.900890
80,39.792,14.912370
81,40.269,14.907750
82,40.754,14.902260
83,41.243,14.915550
84,41.727,14.907340
85,42.203,14.916250
86,42.688,14.923520
87,43.169,14.920580
88,43.662,14.911740
89,44.146,14.910220
90,44.630,14.884720
91,45.112,14.895510
92,45.589,14.906120
93,46.080,14.868330
94,46.566,14.890950
95,47.049,14.929880
96,47.530,15.038180
97,48.009,14.925970
98,48.980,14.924470
99,49.468,14.917500
100,49.952,14.920430
101,50.430,14.923570
102,50.918,14.905910
103,51.397,14.930910
104,51.888,14.905940
105,52.368,14.923320
106,52.857,14.911410
107,53.339,14.939230
108,53.817,14.925350
109,54.308,14.921930
110,54.790,14.909600
111,55.270,14.939500
112,55.759,14.897510
113,56.240,14.880290
114,56.724,14.927880
115,57.210,14.881180
116,57.693,14.908790
117,58.171,14.872570
118,58.661,14.886900
119,59.141,14.913110
120,59.626,14.916570
121,60.107,14.893400
122,60.595,14.910660
123,61.079,14.910020
124,61.561,14.898330
125,62.045,14.908710
126,62.524,14.892060
127,63.014,14.921860
128,63.981,14.898290
129,64.463,14.894620
130,64.950,14.924050
131,65.433,14.905280
132,65.911,14.915970
133,66.399,14.893820
134,66.888,14.886370
135,67.369,14.896830
136,67.850,14.885920
137,68.338,14.857570
138,68.815,14.903160
139,69.305,14.933960
140,69.780,15.033930
141,70.270,14.889590
142,70.749,14.919700
143,71.238,14.919770
144,71.717,14.914420
145,72.203,14.900310
146,72.685,14.955300
147,73.175,14.915820
148,73.660,14.899890
149,74.145,14.891530
150,74.628,14.937740
151,75.110,14.934980
152,75.592,14.900150
153,76.070,14.893930
154,76.562,14.918960
155,77.044,14.928380
156,77.530,14.902150
157,78.017,14.909660
158,78.980,14.897900
159,79.466,14.869900
160,79.948,14.898190
161,80.430,14.902080
162,80.919,14.941280
163,81.394,14.940140
164,81.882,14.929490
165,82.371,14.890690
166,82.851,14.935850
167,83.330,14.916610
168,83.820,14.940720
169,84.300,14.893520
170,84.787,14.939820
171,85.265,14.911400
172,85.756,14.922730
173,86.239,14.897370
174,86.720,14.939040
175,87.209,14.934500
176,87.688,14.904670
177,88.168,14.924650
178,88.660,14.907240
179,89.140,14.919930
180,89.628,14.889590
181,90.105,14.919140
182,90.596,14.860730
183,91.078,14.956140
184,91.560,14.931330
185,92.048,14.932160
186,92.530,14.903890
187,93.014,14.933450
188,93.982,14.923020
189,94.461,14.894830
190,94.950,14.927170
191,95.433,14.931610
192,95.911,14.932420
193,96.400,14.914250
194,96.880,14.935490
195,97.366,14.929140
196,97.853,14.903250
197,98.331,14.918690
198,98.815,14.941170
199,99.302,14.953360
200,99.779,14.887830
