sample,t_s,I_mA
1,0.042,14.943580
2,0.529,14.918760
3,1.011,14.948340
4,1.981,14.930640
5,2.464,14.935890
6,2.944,14.958530
7,3.426,14.930850
8,3.914,14.931550
9,4.391,14.891650
10,4.875,14.926790
11,5.364,14.907270
12,5.852,14.904220
13,6.327,14.937770
14,6.813,14.962110
15,7.300,14.962230
16,7.784,14.970520
17,8.269,14.954140
18,8.750,14.954240
19,9.234,14.958820
20,9.721,14.955210
21,10.205,14.956690
22,10.683,14.954620
23,11.169,14.964630
24,11.652,14.955180
25,12.142,14.967150
26,12.620,14.968730
27,13.109,14.961840
28,13.593,14.944740
29,14.074,14.956710
30,14.560,14.963990
31,15.040,14.943290
32,15.527,14.923250
33,16.005,14.941530
34,16.974,14.936100
35,17.463,14.955310
36,17.942,14.994170
37,18.432,14.940070
38,18.911,14.945010
39,19.394,14.930390
40,19.883,14.937810
41,20.361,14.929780
42,20.851,14.924200
43,21.334,14.937930
44,21.819,14.958980
45,22.302,14.928390
46,22.785,14.931390
47,23.269,14.971330
48,23.745,14.940060
49,24.233,14.948020
50,24.715,14.927230
51,25.205,14.943330
52,25.683,14.934130
53,26.162,14.923830
54,26.652,14.910670
55,27.132,14.947890
56,27.624,14.899510
57,28.104,14.911040
58,28.591,14.956330
59,29.074,15.076780
60,29.557,14.934490
61,30.043,14.939500
62,30.521,14.922140
63,31.494,14.940310
64,31.974,14.929370
65,32.462,14.925500
66,32.947,14.931940
67,33.430,14.974210
68,33.913,14.927640
69,34.395,14.939580
70,34.871,14.930930
71,35.364,14.942470
72,35.844,14.910700
73,36.333,14.929890
74,36.808,14.927470
75,37.301,14.911420
76,37.784,14.884200
77,38.268,14.911470
78,38.752,14.922040
79,39.236,14.926160
80,39.714,14.914180
81,40.204,14.920400
82,40.687,14.931470
83,41.171,14.963770
84,41.654,14.970090
85,42.138,14.948690
86,42.623,14.942030
87,43.104,14.954320
88,43.590,14.943310
89,44.066,14.933500
90,44.555,14.952250
91,45.032,14.965950
92,45.525,14.949370
93,46.493,14.956430
94,46.973,14.965630
95,47.452,14.954280
96,47.941,14.940350
97,48.430,14.935350
98,48.912,14.934190
99,49.394,14.921470
100,49.879,14.899600
101,50.362,14.963430
102,50.841,14.960910
103,51.331,15.052190
104,51.814,14.943330
105,52.299,14.921720
106,52.775,14.937720
107,53.264,14.935480
108,53.744,14.949760
109,54.234,14.924450
110,54.716,14.928900
111,55.202,14.913760
112,55.681,14.944430
113,56.169,14.936130
114,56.654,14.949820
115,57.133,14.939400
116,57.621,14.935300
117,58.105,14.934020
118,58.582,14.946410
119,59.073,14.950010
120,59.554,14.891120
121,60.040,14.906690
122,60.524,14.917540
123,61.491,14.927260
124,61.967,14.955140
125,62.452,14.960480
126,62.944,14.961140
127,63.422,14.940840
128,63.911,14.957130
129,64.393,14.956980
130,64.878,14.944580
131,65.359,14.943180
132,65.844,14.962210
133,66.324,14.955940
134,66.813,14.945330
135,67.294,14.938880
136,67.781,14.950990
137,68.264,14.967670
138,68.744,14.937660
139,69.233,14.952740
140,69.714,14.961880
141,70.200,14.945540
142,70.684,14.911470
143,71.158,14.942020
144,71.644,14.953730
145,72.134,14.921130
146,72.612,14.936510
147,73.102,14.932160
148,73.583,14.923580
149,74.071,14.957690
150,74.552,14.940120
151,75.034,14.952300
152,75.518,14.922880
153,76.485,14.926880
154,76.974,14.950090
155,77.458,14.911690
156,77.942,14.946670
157,78.424,14.938590
158,78.902,14.921630
159,79.390,14.950530
160,79.874,14.936820
161,80.362,14.952800
162,80.844,14.934890
163,81.325,14.945990
164,81.811,14.908550
165,82.291,14.925650
166,82.780,14.917420
167,83.259,14.914750
168,83.747,14.930220
169,84.227,14.955520
170,84.714,14.924710
171,85.200,14.956210
172,85.676,14.960550
173,86.164,14.925500
174,86.643,14.933240
175,87.134,14.959300
176,87.614,14.974450
177,88.103,14.920090
178,88.584,14.932850
179,89.062,14.956320
180,89.551,14.939260
181,90.030,14.921290
182,90.519,14.944850
183,91.488,14.926780
184,91.967,14.953550
185,92.455,14.953970
186,92.934,14.929030
187,93.422,14.907970
188,93.904,14.918600
189,94.393,14.910170
190,94.874,14.930320
191,95.359,14.963590
192,95.844,14.958720
193,96.324,14.956760
194,96.811,14.947840
195,97.291,14.925820
196,97.774,14.961470
197,98.262,14.974250
198,98.742,14.938290
199,99.226,14.956140
200,99.712,14.958760
